Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,511,0,0,42,2026-08-14T17:22:13.534852+00:00,ok,False,,,False,False,0.5732966000000488,0.4614235000003646,"192
",192,15,False,301,97,0,398,96
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,511,1,1,42,2026-08-14T17:22:14.108297+00:00,ok,False,,,False,False,0.5555515000000923,0.3371533999998064,"3
",3,2,False,299,50,0,349,49
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,512,0,2,42,2026-08-14T17:22:14.663972+00:00,ok,False,,,False,False,1.073859099999936,0.5132714999999735,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,373,137,0,510,136
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,512,1,3,42,2026-08-14T17:22:15.738140+00:00,ok,False,,,False,False,0.9543825999999171,0.4746541999998044,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,374,122,0,496,121
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,513,0,4,42,2026-08-14T17:22:16.692722+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.579331099999763,0.41734309999992547,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,,,,,52
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,513,1,5,42,2026-08-14T17:22:17.272158+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.5926578000003246,0.4307895000001736,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,,,,,57
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,514,0,6,42,2026-08-14T17:22:17.864905+00:00,ok,False,,,False,False,0.598715699999957,0.4330598999999893,"21
",21,21,True,334,57,0,391,56
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,514,1,7,42,2026-08-14T17:22:18.463752+00:00,ok,False,,,False,False,0.6071789999996327,0.4437267999996948,"95
",95,95,True,334,59,0,393,58
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,515,0,8,42,2026-08-14T17:22:19.071071+00:00,ok,False,,,False,False,1.2430262999996557,0.37455089999957636,"True
",True,False,False,323,168,0,491,167
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,515,1,9,42,2026-08-14T17:22:20.314327+00:00,ok,False,,,False,False,1.2694810999996662,0.3693527999998878,"True
",True,False,False,323,180,0,503,179
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,incremental,516,0,10,42,2026-08-14T17:22:21.584022+00:00,ok,False,,,False,False,1.41360880000002,0.43278289999989283,"[11, 2, 3, 7, 8, 9]
","[11, 2, 3, 7, 8, 9]","[2, 3, 7, 8, 9, 11]",False,350,207,0,557,206
