Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,511,0,0,42,2026-08-14T17:23:54.012075+00:00,ok,False,,,False,False,0.6433327999998255,0.6433044999998856,"192
",192,15,False,301,97,0,398,96
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,511,1,1,42,2026-08-14T17:23:54.655575+00:00,ok,False,,,False,False,0.7388695999998163,0.7388363999998546,"3
",3,2,False,299,50,0,349,49
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,512,0,2,42,2026-08-14T17:23:55.394594+00:00,ok,False,,,False,False,1.263918399999966,1.2638661999999385,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,373,137,0,510,136
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,512,1,3,42,2026-08-14T17:23:56.658769+00:00,ok,False,,,False,False,1.1761984999998276,1.176142699999673,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,374,122,0,496,121
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,513,0,4,42,2026-08-14T17:23:57.835229+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.7755416999998488,0.7755223999997725,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,367,62,0,429,61
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,513,1,5,42,2026-08-14T17:23:58.610854+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.8185145000002194,0.8184936000002381,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,372,67,0,439,66
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,514,0,6,42,2026-08-14T17:23:59.429450+00:00,ok,False,,,False,False,0.806996099999651,0.8069659999996475,"21
",21,21,True,334,57,0,391,56
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,514,1,7,42,2026-08-14T17:24:00.236586+00:00,ok,False,,,False,False,0.7768797999997332,0.7768444999996973,"95
",95,95,True,334,59,0,393,58
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,515,0,8,42,2026-08-14T17:24:01.013646+00:00,ok,False,,,False,False,1.4460048999999344,1.4459741999999096,"True
",True,False,False,323,168,0,491,167
google/gemma-3-4b,gemma-3-4b (lmstudio),lmstudio,sequential,515,1,9,42,2026-08-14T17:24:02.459900+00:00,ok,False,,,False,False,1.4584497999999257,1.4584193000000596,"True
",True,False,False,323,180,0,503,179
