Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,511,0,0,42,2026-08-16T11:06:51.495810+00:00,ok,False,,,False,False,14.169610199998715,13.412851999994018,"1
",1,15,False,306,2097,1971,2403,121
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,511,1,1,42,2026-08-16T11:07:05.666955+00:00,ok,False,,,False,False,15.903292699993472,14.125670900000841,"0
",0,2,False,304,2349,2073,2653,271
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,512,0,2,42,2026-08-16T11:07:21.571559+00:00,ok,False,,,False,False,30.35863380000228,29.514200699995854,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,378,4479,4318,4857,156
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,512,1,3,42,2026-08-16T11:07:51.932964+00:00,ok,False,,,False,False,14.403425600001356,13.361523400002625,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,379,2128,1934,2507,189
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,513,0,4,42,2026-08-16T11:08:06.337554+00:00,ok,False,,,False,False,2.975174399995012,2.5510672999953385,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,372,402,316,774,81
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,513,1,5,42,2026-08-16T11:08:09.313387+00:00,ok,False,,,False,False,3.1822642000042833,2.828504499993869,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,377,435,354,812,76
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,514,0,6,42,2026-08-16T11:08:12.496019+00:00,ok,False,,,False,False,1.541867199994158,1.4186697999975877,"21
",21,21,True,339,185,137,524,43
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,514,1,7,42,2026-08-16T11:08:14.038076+00:00,ok,False,,,False,False,1.8620072999910917,1.7429074999963632,"95
",95,95,True,339,237,187,576,45
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,515,0,8,42,2026-08-16T11:08:15.900351+00:00,ok,False,,,False,False,11.593304100009846,10.517477000001236,"True
",True,False,False,328,1705,1527,2033,173
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,incremental,515,1,9,42,2026-08-16T11:08:27.494693+00:00,ok,False,,,False,False,16.26346349999949,15.548183399994741,"True
",True,False,False,328,2404,2282,2732,117
