Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,511,0,0,42,2026-08-16T11:24:23.142827+00:00,ok,False,,,False,False,14.156173399998806,14.156145799992373,"1
",1,15,False,306,2097,1971,2403,121
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,511,1,1,42,2026-08-16T11:24:37.300437+00:00,ok,False,,,False,False,15.877181399991969,15.877151399996364,"0
",0,2,False,304,2349,2073,2653,271
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,512,0,2,42,2026-08-16T11:24:53.179194+00:00,ok,False,,,False,False,30.370251200001803,30.370200499994098,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,378,4479,4318,4857,156
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,512,1,3,42,2026-08-16T11:25:23.552766+00:00,ok,False,,,False,False,14.436652500007767,14.436587300006067,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,379,2128,1934,2507,189
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,513,0,4,42,2026-08-16T11:25:37.991897+00:00,ok,False,,,False,False,3.0431463999993866,3.043096500012325,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,372,402,316,774,81
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,513,1,5,42,2026-08-16T11:25:41.035414+00:00,ok,False,,,False,False,3.294391599993105,3.2943422999960603,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,377,435,354,812,76
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,514,0,6,42,2026-08-16T11:25:44.330236+00:00,ok,False,,,False,False,1.5306012999935774,1.5305733999994118,"21
",21,21,True,339,185,137,524,43
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,514,1,7,42,2026-08-16T11:25:45.861066+00:00,ok,False,,,False,False,1.8621111999964342,1.8620863999967696,"95
",95,95,True,339,237,187,576,45
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,515,0,8,42,2026-08-16T11:25:47.723388+00:00,ok,False,,,False,False,11.584821700002067,11.584795799994026,"True
",True,False,False,328,1705,1527,2033,173
google/gemma-4-e4b,gemma-4-e4b (lmstudio),lmstudio,sequential,515,1,9,42,2026-08-16T11:25:59.309571+00:00,ok,False,,,False,False,16.266405100002885,16.26637870000559,"True
",True,False,False,328,2404,2282,2732,117
