Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,511,0,0,42,2026-08-16T10:34:13.846494+00:00,ok,False,,,False,False,0.5510574999934761,0.42085080000106245,"1
",1,15,False,295,46,,341,45
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,511,1,1,42,2026-08-16T10:34:14.397665+00:00,ok,False,,,False,False,0.5840926999953808,0.4403496000013547,"1
",1,2,False,295,46,,341,45
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,512,0,2,42,2026-08-16T10:34:14.981862+00:00,ok,False,,,False,False,0.7706031999987317,0.522116799998912,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,368,95,,463,94
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,512,1,3,42,2026-08-16T10:34:15.752626+00:00,ok,False,,,False,False,0.73242709999613,0.5045328999985941,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,368,95,,463,94
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,513,0,4,42,2026-08-16T10:34:16.485201+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.5362892000121064,0.4701876000035554,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,,,,,34
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,513,1,5,42,2026-08-16T10:34:17.021694+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.554454800003441,0.4875692999921739,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,,,,,38
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,514,0,6,42,2026-08-16T10:34:17.576252+00:00,ok,False,,,False,False,0.5349754000053508,0.48969050000596326,"21
",21,21,True,330,35,,365,34
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,514,1,7,42,2026-08-16T10:34:18.111321+00:00,ok,False,,,False,False,0.5324275000020862,0.48652469999797177,"95
",95,95,True,325,32,,357,31
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,515,0,8,42,2026-08-16T10:34:18.643841+00:00,error,True,RuntimeError,RuntimeError: SystemExit: None,False,True,0.6574047000030987,0.4493309999961639,"True
",,False,False,,,,,67
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,515,1,9,42,2026-08-16T10:34:19.301336+00:00,error,True,RuntimeError,RuntimeError: SystemExit: None,False,True,0.6703105000051437,0.44500090001383796,"True
",,False,False,,,,,67
llama3.2:latest,llama3.2-latest (ollama),ollama,incremental,516,0,10,42,2026-08-16T10:34:19.971834+00:00,error,True,ZeroDivisionError,ZeroDivisionError: integer division or modulo by zero,False,True,1.0003876999981003,0.4260948000010103,,,"[2, 3, 7, 8, 9, 11]",False,,,,,164
