Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,511,0,0,42,2026-08-16T10:35:28.427958+00:00,ok,False,,,False,False,0.5699769000057131,0.5699520000052871,"1
",1,15,False,295,46,,341,45
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,511,1,1,42,2026-08-16T10:35:28.998027+00:00,ok,False,,,False,False,0.5889047000091523,0.588878399998066,"1
",1,2,False,295,46,,341,45
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,512,0,2,42,2026-08-16T10:35:29.587030+00:00,ok,False,,,False,False,0.7491884000046412,0.7491351000062423,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,368,95,,463,94
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,512,1,3,42,2026-08-16T10:35:30.336311+00:00,ok,False,,,False,False,0.7635751999914646,0.7635254999913741,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,368,95,,463,94
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,513,0,4,42,2026-08-16T10:35:31.100029+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.5705240999959642,0.5705085999943549,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,362,40,,402,39
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,513,1,5,42,2026-08-16T10:35:31.670624+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.5661989000072936,0.5661821999965468,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,366,44,,410,43
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,514,0,6,42,2026-08-16T10:35:32.236904+00:00,ok,False,,,False,False,0.5430640999984462,0.5430358000012347,"21
",21,21,True,330,35,,365,34
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,514,1,7,42,2026-08-16T10:35:32.780055+00:00,ok,False,,,False,False,0.5215819000004558,0.5215590000007069,"95
",95,95,True,325,32,,357,31
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,515,0,8,42,2026-08-16T10:35:33.301710+00:00,error,True,RuntimeError,RuntimeError: SystemExit: None,False,False,0.6852608999906806,0.6852438999922015,"True
",,False,False,320,74,,394,71
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,515,1,9,42,2026-08-16T10:35:33.987046+00:00,error,True,RuntimeError,RuntimeError: SystemExit: None,False,False,0.6686749000073178,0.6686601999972481,"True
",,False,False,320,74,,394,71
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,516,0,10,42,2026-08-16T10:35:34.655765+00:00,error,True,ZeroDivisionError,ZeroDivisionError: integer division or modulo by zero,False,False,1.0320949999877485,1.0320797999884235,,,"[2, 3, 7, 8, 9, 11]",False,335,174,,509,173
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,516,1,11,42,2026-08-16T10:35:35.687907+00:00,ok,False,,,False,False,0.7937326999963261,0.7936820999893826,"[]
",[],"[12, 24, 26, 29, 36]",False,332,108,,440,107
llama3.2:latest,llama3.2-latest (ollama),ollama,sequential,517,0,12,42,2026-08-16T10:35:36.481840+00:00,ok,False,,,False,False,0.5221645999990869,0.5221396999986609,"6
",6,6,True,316,30,,346,29
