Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,511,0,0,42,2026-08-16T12:37:54.847478+00:00,ok,False,,,False,False,0.8110466999933124,0.48809099999198224,"192
",192,15,False,274,47,,321,45
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,511,1,1,42,2026-08-16T12:37:55.658628+00:00,ok,False,,,False,False,0.857835700007854,0.47758360000443645,"3
",3,2,False,272,45,,317,43
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,512,0,2,42,2026-08-16T12:37:56.516729+00:00,ok,False,,,False,False,1.2174540999985766,0.4873974999936763,"Counter({6: 2, 7: 2, 10: 2, 8: 1, 9: 1})
","Counter({6: 2, 7: 2, 10: 2, 8: 1, 9: 1})","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",False,346,81,,427,80
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,512,1,3,42,2026-08-16T12:37:57.734321+00:00,ok,False,,,False,False,1.2259257000114303,0.465388399999938,"Counter({7: 2, 8: 2, 11: 2, 9: 1, 10: 1})
","Counter({7: 2, 8: 2, 11: 2, 9: 1, 10: 1})","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,347,83,,430,82
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,513,0,4,42,2026-08-16T12:37:58.960399+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.7932950999966124,0.589802199989208,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,,,,,38
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,513,1,5,42,2026-08-16T12:37:59.753796+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.837285100002191,0.6373957000032533,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,,,,,42
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,514,0,6,42,2026-08-16T12:38:00.591204+00:00,ok,False,,,False,False,0.7471648000064306,0.6257858000026317,"21
",21,21,True,307,35,,342,34
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,514,1,7,42,2026-08-16T12:38:01.338484+00:00,ok,False,,,False,False,0.7634726999967825,0.6359146000031615,"95
",95,95,True,307,37,,344,36
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,515,0,8,42,2026-08-16T12:38:02.102074+00:00,ok,False,,,False,False,1.0143927000026451,0.5021722000092268,"True
",True,False,False,296,62,,358,60
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,incremental,515,1,9,42,2026-08-16T12:38:03.116596+00:00,ok,False,,,False,False,1.0210551999916788,0.5070335999917006,"True
",True,False,False,296,62,,358,60
