Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,511,0,0,42,2026-08-15T15:44:51.461946+00:00,ok,False,,,False,False,0.652509800000189,0.6524801000014122,"192
",192,15,False,274,47,,321,45
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,511,1,1,42,2026-08-15T15:44:52.114573+00:00,ok,False,,,False,False,0.8295367999999144,0.8295098999988113,"3
",3,2,False,272,45,,317,43
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,512,0,2,42,2026-08-15T15:44:52.944252+00:00,ok,False,,,False,False,1.2147356000004947,1.214667800000825,"Counter({6: 2, 7: 2, 10: 2, 8: 1, 9: 1})
","Counter({6: 2, 7: 2, 10: 2, 8: 1, 9: 1})","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",False,346,82,,428,81
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,512,1,3,42,2026-08-15T15:44:54.159138+00:00,ok,False,,,False,False,1.2099159999997937,1.2098604999991949,"Counter({7: 2, 8: 2, 11: 2, 9: 1, 10: 1})
","Counter({7: 2, 8: 2, 11: 2, 9: 1, 10: 1})","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,347,80,,427,79
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,513,0,4,42,2026-08-15T15:44:55.369202+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.8563736999985849,0.8563586999989639,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,339,46,,385,44
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,513,1,5,42,2026-08-15T15:44:56.225664+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.9100530999985494,0.9100347999992664,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,345,52,,397,50
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,514,0,6,42,2026-08-15T15:44:57.135806+00:00,ok,False,,,False,False,0.7434966000000713,0.7434677000001102,"21
",21,21,True,307,35,,342,34
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,514,1,7,42,2026-08-15T15:44:57.879399+00:00,ok,False,,,False,False,0.7838090999994165,0.7837808000003861,"95
",95,95,True,307,37,,344,36
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,515,0,8,42,2026-08-15T15:44:58.663314+00:00,ok,False,,,False,False,1.0372114999991027,1.0371809999996913,"True
",True,False,False,296,62,,358,60
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,515,1,9,42,2026-08-15T15:44:59.700659+00:00,error,True,NameError,NameError: name 'itertools' is not defined,False,False,0.9455867999986367,0.9455703000003268,,,False,False,296,52,,348,50
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,516,0,10,42,2026-08-15T15:45:00.646315+00:00,ok,False,,,False,False,1.5068871999992552,1.5068475999996735,"[9, 8, 7, 3, 2, 11]
","[9, 8, 7, 3, 2, 11]","[2, 3, 7, 8, 9, 11]",False,323,110,,433,106
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,516,1,11,42,2026-08-15T15:45:02.153370+00:00,ok,False,,,False,False,1.219709299999522,1.2194982000000891,"[36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 26, 29, 36, 26, 29, 36, 29, 36, 29, 36, 29, 36, 36, 36, 36, 36, 36, 36]
","[36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 12, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 24, 26, 29, 36, 26, 29, 36, 26, 29, 36, 29, 36, 29, 36, 29, 36, 36, 36, 36, 36, 36, 36]","[12, 24, 26, 29, 36]",False,324,83,,407,81
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,517,0,12,42,2026-08-15T15:45:03.373268+00:00,ok,False,,,False,False,0.7977362000001449,0.7977080999989994,"6
",6,6,True,292,41,,333,39
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,517,1,13,42,2026-08-15T15:45:04.171111+00:00,ok,False,,,False,False,0.7714795000010781,0.7714532999998482,"1
",1,1,True,288,37,,325,35
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,520,0,14,42,2026-08-15T15:45:04.942684+00:00,ok,False,,,False,False,1.0416910999992979,1.0416618999988714,"24
",24,24,True,296,61,,357,57
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,520,1,15,42,2026-08-15T15:45:05.984503+00:00,ok,False,,,False,False,1.0601549000002706,1.0601298000001407,"120
",120,120,True,300,66,,366,62
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,522,0,16,42,2026-08-15T15:45:07.044781+00:00,ok,False,,,False,False,1.974690200000623,1.9746604000010848,"6
",6,6,True,349,157,,506,154
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,522,1,17,42,2026-08-15T15:45:09.019678+00:00,error,True,ValueError,ValueError: attempt to assign sequence of size 5 to extended slice of size 6,False,False,1.6717485999997734,1.6717315999994753,,,5,False,347,128,,475,123
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,524,0,18,42,2026-08-15T15:45:10.691519+00:00,ok,False,,,False,False,1.1619124000008014,1.1618827000002057,"22
",22,22,True,314,74,,388,69
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,524,1,19,42,2026-08-15T15:45:11.853568+00:00,ok,False,,,False,False,1.3946817999985797,1.3946534999995492,"10
",10,10,True,314,101,,415,96
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,525,0,20,42,2026-08-15T15:45:13.248424+00:00,ok,False,,,False,False,0.9388386999999057,0.9388125000004948,"False
",False,False,True,294,54,,348,49
mistral-nemo:12b,mistral-nemo-12b (ollama),ollama,sequential,525,1,21,42,2026-08-15T15:45:14.187376+00:00,error,True,IndexError,IndexError: list index out of range,False,False,1.2927565999998478,1.2927421999993385,,,True,False,289,89,,378,70
