Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,511,0,0,42,2026-08-14T18:14:58.001386+00:00,ok,False,,,False,False,3.9231395999995584,3.8035241999996288,"15
",15,15,True,278,224,141,502,182
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,511,1,1,42,2026-08-14T18:15:01.924793+00:00,ok,False,,,False,False,3.185029199999917,2.852194099999906,"2
",2,2,True,278,215,137,493,75
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,512,0,2,42,2026-08-14T18:15:05.110007+00:00,ok,False,,,False,False,6.207932199999959,6.1388838999992,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,351,372,290,723,261
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,512,1,3,42,2026-08-14T18:15:11.318326+00:00,ok,False,,,False,False,3.2991052000006675,3.1478020000004108,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,351,254,172,605,79
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,513,0,4,42,2026-08-14T18:15:14.617547+00:00,ok,False,,,False,False,2.8102538000002824,2.7653165000001536,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,345,81,31,426,47
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,513,1,5,42,2026-08-14T18:15:17.427885+00:00,ok,False,,,False,False,2.5284536999997727,2.5005928999999014,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,349,130,74,479,53
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,514,0,6,42,2026-08-14T18:15:19.956428+00:00,ok,False,,,False,False,2.840430899999774,2.7348261999995884,"21
",21,21,True,313,73,33,386,111
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,514,1,7,42,2026-08-14T18:15:22.797056+00:00,ok,False,,,False,False,4.636353400000189,4.589788000000226,"95
",95,95,True,308,75,34,383,119
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,515,0,8,42,2026-08-14T18:15:27.433614+00:00,ok,False,,,False,False,9.516778700000032,9.448698300000615,"False
",False,False,True,303,494,386,797,319
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,incremental,515,1,9,42,2026-08-14T18:15:36.950698+00:00,ok,False,,,False,False,10.069018000000142,9.83955270000024,"False
",False,False,True,303,827,740,1130,262
