Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,511,0,0,42,2026-08-14T18:15:47.020791+00:00,ok,False,,,False,False,5.563016699999935,5.562990700000228,"15
",15,15,True,278,470,384,748,83
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,511,1,1,42,2026-08-14T18:15:52.583952+00:00,ok,False,,,False,False,2.9028746000003594,2.902845900000102,"2
",2,2,True,278,78,54,356,99
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,512,0,2,42,2026-08-14T18:15:55.487003+00:00,ok,False,,,False,False,3.4337720000003173,3.433722800000396,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,351,274,175,625,96
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,512,1,3,42,2026-08-14T18:15:58.920918+00:00,ok,False,,,False,False,3.7815240999998423,3.781477599999562,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,351,219,126,570,90
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,513,0,4,42,2026-08-14T18:16:02.702577+00:00,ok,False,,,False,False,4.725037799999882,4.724994299999707,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,345,103,51,448,140
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,513,1,5,42,2026-08-14T18:16:07.427758+00:00,ok,False,,,False,False,2.7582996000001003,2.758250599999883,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,349,96,42,445,51
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,514,0,6,42,2026-08-14T18:16:10.186150+00:00,ok,False,,,False,False,3.3515612999999576,3.3515368000007584,"21
",21,21,True,313,77,33,390,122
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,514,1,7,42,2026-08-14T18:16:13.537903+00:00,ok,False,,,False,False,1.5205427000000782,1.5205154000004768,"95
",95,95,True,308,70,29,378,38
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,515,0,8,42,2026-08-14T18:16:15.058544+00:00,ok,False,,,False,False,8.00830010000027,8.008275500000309,"False
",False,False,True,303,493,364,796,308
openai/gpt-5.6-luna,gpt-5.6-luna (openrouter),openrouter,sequential,515,1,9,42,2026-08-14T18:16:23.067238+00:00,ok,False,,,False,False,7.27135509999971,7.271330700000362,"False
",False,False,True,303,596,489,899,104
