Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,511,0,0,42,2026-08-14T17:07:46.899697+00:00,ok,False,,,False,False,1.1305614999998852,0.7119021999999404,"15
",15,15,True,342,221,114,563,97
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,511,1,1,42,2026-08-14T17:07:48.030530+00:00,ok,False,,,False,False,0.8242055999999138,0.7661663000001226,"2
",2,2,True,342,118,89,460,19
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,512,0,2,42,2026-08-14T17:07:48.854929+00:00,ok,False,,,False,False,1.3027698999999302,1.001394800000071,"{10: 2, 9: 1, 8: 1, 7: 2, 6: 2}
","{10: 2, 9: 1, 8: 1, 7: 2, 6: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,415,216,113,631,93
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,512,1,3,42,2026-08-14T17:07:50.157990+00:00,ok,False,,,False,False,1.4243917999999667,1.1216922000000977,"{11: 2, 10: 1, 9: 1, 8: 2, 7: 2}
","{11: 2, 10: 1, 9: 1, 8: 2, 7: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,415,243,140,658,93
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,513,0,4,42,2026-08-14T17:07:51.582700+00:00,ok,False,,,False,False,1.0282995999998548,0.8623861999999463,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,409,150,89,559,51
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,513,1,5,42,2026-08-14T17:07:52.611199+00:00,ok,False,,,False,False,1.1068592999999964,0.9374852000000828,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,413,173,108,586,55
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,514,0,6,42,2026-08-14T17:07:53.718263+00:00,ok,False,,,False,False,0.6232328000000962,0.5608478000001469,"21
",21,21,True,377,68,23,445,35
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,514,1,7,42,2026-08-14T17:07:54.341628+00:00,ok,False,,,False,False,0.7945353999998588,0.7324291999998422,"95
",95,95,True,372,108,68,480,30
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,515,0,8,42,2026-08-14T17:07:55.136334+00:00,ok,False,,,False,False,2.6952409999998963,2.3616472999999587,"False
",False,False,True,367,512,421,879,81
openai/gpt-oss-20b,gpt-oss-20b (lmstudio),lmstudio,incremental,515,1,9,42,2026-08-14T17:07:57.832018+00:00,ok,False,,,False,False,3.1336328999998386,2.817936199999849,"False
",False,False,True,367,607,520,974,77
