Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
phi4:latest,Phi-4 (ollama),ollama,incremental,511,0,0,42,2026-08-14T16:51:43.097630+00:00,ok,False,,,False,False,0.6287657999999965,0.20657840000001215,"192
",192,15,False,286,46,,332,45
phi4:latest,Phi-4 (ollama),ollama,incremental,511,1,1,42,2026-08-14T16:51:43.726490+00:00,ok,False,,,False,False,0.8626183999999739,0.43992919999993774,"3
",3,2,False,286,46,,332,45
phi4:latest,Phi-4 (ollama),ollama,incremental,512,0,2,42,2026-08-14T16:51:44.589215+00:00,ok,False,,,False,False,1.4925521000000117,0.6826192999999421,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,359,103,,462,102
phi4:latest,Phi-4 (ollama),ollama,incremental,512,1,3,42,2026-08-14T16:51:46.081912+00:00,ok,False,,,False,False,1.4841374999999744,0.6748272999999472,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,359,103,,462,102
phi4:latest,Phi-4 (ollama),ollama,incremental,513,0,4,42,2026-08-14T16:51:47.566184+00:00,ok,False,,,False,False,1.032243200000039,0.5545155999999452,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,353,61,,414,60
phi4:latest,Phi-4 (ollama),ollama,incremental,513,1,5,42,2026-08-14T16:51:48.598541+00:00,ok,False,,,False,False,1.0706222000000025,0.5821032999999716,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,357,65,,422,64
phi4:latest,Phi-4 (ollama),ollama,incremental,514,0,6,42,2026-08-14T16:51:49.669276+00:00,ok,False,,,False,False,0.7599636999999575,0.6149216000000024,"21
",21,21,True,321,37,,358,36
phi4:latest,Phi-4 (ollama),ollama,incremental,514,1,7,42,2026-08-14T16:51:50.429332+00:00,ok,False,,,False,False,0.7154626999999891,0.5702933999999686,"95
",95,95,True,316,34,,350,33
phi4:latest,Phi-4 (ollama),ollama,incremental,515,0,8,42,2026-08-14T16:51:51.144896+00:00,ok,False,,,False,False,1.6762378999999328,0.4681176999999934,"False
",False,False,True,311,120,,431,119
phi4:latest,Phi-4 (ollama),ollama,incremental,515,1,9,42,2026-08-14T16:51:52.821287+00:00,ok,False,,,False,False,1.673541699999987,0.4663572000000613,"False
",False,False,True,311,120,,431,119
phi4:latest,Phi-4 (ollama),ollama,incremental,516,0,10,42,2026-08-14T16:51:54.494996+00:00,ok,False,,,False,False,1.4760545999999977,0.6112252000000353,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,326,102,,428,101
phi4:latest,Phi-4 (ollama),ollama,incremental,516,1,11,42,2026-08-14T16:51:55.971180+00:00,ok,False,,,False,False,2.2958205999999564,0.5790512999999464,"[12, 24, 26, 29, 36]
","[12, 24, 26, 29, 36]","[12, 24, 26, 29, 36]",True,323,176,,499,175
