Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
phi4:latest,phi4-latest (ollama),ollama,sequential,511,0,0,42,2026-08-16T10:39:26.528150+00:00,ok,False,,,False,False,0.8989674000040395,0.8989392000075895,"192
",192,15,False,286,46,,332,45
phi4:latest,phi4-latest (ollama),ollama,sequential,511,1,1,42,2026-08-16T10:39:27.427207+00:00,ok,False,,,False,False,0.9566563999978825,0.956632500005071,"3
",3,2,False,286,46,,332,45
phi4:latest,phi4-latest (ollama),ollama,sequential,512,0,2,42,2026-08-16T10:39:28.383945+00:00,ok,False,,,False,False,1.5425875000073574,1.5425220000033733,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,359,95,,454,94
phi4:latest,phi4-latest (ollama),ollama,sequential,512,1,3,42,2026-08-16T10:39:29.926641+00:00,ok,False,,,False,False,1.6236235000105808,1.6235693000053288,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,359,105,,464,104
phi4:latest,phi4-latest (ollama),ollama,sequential,513,0,4,42,2026-08-16T10:39:31.550372+00:00,ok,False,,,False,False,1.115659000002779,1.115609200001927,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,353,61,,414,60
phi4:latest,phi4-latest (ollama),ollama,sequential,513,1,5,42,2026-08-16T10:39:32.666146+00:00,ok,False,,,False,False,1.1515061000100104,1.1514468000095803,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,357,65,,422,64
phi4:latest,phi4-latest (ollama),ollama,sequential,514,0,6,42,2026-08-16T10:39:33.817749+00:00,ok,False,,,False,False,0.857177199999569,0.8571483999985503,"21
",21,21,True,321,41,,362,40
phi4:latest,phi4-latest (ollama),ollama,sequential,514,1,7,42,2026-08-16T10:39:34.675031+00:00,ok,False,,,False,False,0.7955835000029765,0.7955577999964589,"95
",95,95,True,316,34,,350,33
phi4:latest,phi4-latest (ollama),ollama,sequential,515,0,8,42,2026-08-16T10:39:35.470687+00:00,ok,False,,,False,False,1.9632111999962945,1.963183100000606,"True
",True,False,False,311,129,,440,128
phi4:latest,phi4-latest (ollama),ollama,sequential,515,1,9,42,2026-08-16T10:39:37.434035+00:00,ok,False,,,False,False,1.975070999993477,1.9750456999900052,"True
",True,False,False,311,129,,440,128
phi4:latest,phi4-latest (ollama),ollama,sequential,516,0,10,42,2026-08-16T10:39:39.409232+00:00,ok,False,,,False,False,3.2662094999977853,3.26616909999575,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,326,236,,562,235
phi4:latest,phi4-latest (ollama),ollama,sequential,516,1,11,42,2026-08-16T10:39:42.675654+00:00,ok,False,,,False,False,3.2347623000096064,3.2347136000025785,"[12, 24, 26, 29, 36]
","[12, 24, 26, 29, 36]","[12, 24, 26, 29, 36]",True,323,233,,556,232
phi4:latest,phi4-latest (ollama),ollama,sequential,517,0,12,42,2026-08-16T10:39:45.910608+00:00,ok,False,,,False,False,1.0348610999935772,1.034831099997973,"6
",6,6,True,307,55,,362,54
phi4:latest,phi4-latest (ollama),ollama,sequential,517,1,13,42,2026-08-16T10:39:46.945572+00:00,ok,False,,,False,False,0.9194678000058047,0.9194401999993715,"1
",1,1,True,303,48,,351,47
phi4:latest,phi4-latest (ollama),ollama,sequential,520,0,14,42,2026-08-16T10:39:47.865159+00:00,ok,False,,,False,False,1.1603071999998065,1.1602825000009034,"24
",24,24,True,308,67,,375,66
phi4:latest,phi4-latest (ollama),ollama,sequential,520,1,15,42,2026-08-16T10:39:49.025556+00:00,ok,False,,,False,False,1.2065073999983724,1.2064776000042912,"120
",120,120,True,311,70,,381,69
phi4:latest,phi4-latest (ollama),ollama,sequential,522,0,16,42,2026-08-16T10:39:50.232171+00:00,ok,False,,,False,False,3.6525089999922784,3.652478499992867,"6
",6,6,True,356,267,,623,264
phi4:latest,phi4-latest (ollama),ollama,sequential,522,1,17,42,2026-08-16T10:39:53.884894+00:00,ok,False,,,False,False,3.6935111999919172,3.6934859000029974,"5
",5,5,True,350,269,,619,266
phi4:latest,phi4-latest (ollama),ollama,sequential,524,0,18,42,2026-08-16T10:39:57.578618+00:00,ok,False,,,False,False,1.645745400004671,1.6457212999957846,"22
",22,22,True,322,100,,422,99
phi4:latest,phi4-latest (ollama),ollama,sequential,524,1,19,42,2026-08-16T10:39:59.224472+00:00,ok,False,,,False,False,1.5749104999995325,1.574883299996145,"10
",10,10,True,322,100,,422,99
phi4:latest,phi4-latest (ollama),ollama,sequential,525,0,20,42,2026-08-16T10:40:00.799498+00:00,ok,False,,,False,False,1.2906704999913927,1.290647000001627,"False
",False,False,True,309,75,,384,74
phi4:latest,phi4-latest (ollama),ollama,sequential,525,1,21,42,2026-08-16T10:40:02.090271+00:00,ok,False,,,False,False,1.128959900001064,1.1289313000015682,"True
",True,True,True,304,64,,368,63
phi4:latest,phi4-latest (ollama),ollama,sequential,526,0,22,42,2026-08-16T10:40:03.219335+00:00,ok,False,,,False,False,0.9456531000032555,0.9456232999946224,"'BigdatA'
",'BigdatA','BigdatA',True,296,49,,345,48
phi4:latest,phi4-latest (ollama),ollama,sequential,526,1,23,42,2026-08-16T10:40:04.165086+00:00,ok,False,,,False,False,0.9352225000038743,0.935188500006916,"'HadooP'
",'HadooP','HadooP',True,296,49,,345,48
phi4:latest,phi4-latest (ollama),ollama,sequential,527,0,24,42,2026-08-16T10:40:05.100422+00:00,ok,False,,,False,False,1.3072468000027584,1.3072211000107927,"2
",2,2,True,325,78,,403,77
