Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,511,0,0,42,2026-08-14T19:05:25.676524+00:00,ok,False,,,False,False,7.2017598999991606,6.873652599999332,"15
",15,15,True,290,1563,,1853,1560
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,511,1,1,42,2026-08-14T19:05:32.879357+00:00,ok,False,,,False,False,6.672135699998762,6.419116699998995,"2
",2,2,True,288,1384,,1672,1381
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,512,0,2,42,2026-08-14T19:05:39.552517+00:00,ok,False,,,False,False,13.08101760000136,12.75880540000071,"{10: 2, 9: 1, 8: 1, 7: 2, 6: 2}
","{10: 2, 9: 1, 8: 1, 7: 2, 6: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,362,2750,,3112,2747
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,512,1,3,42,2026-08-14T19:05:52.635490+00:00,ok,False,,,False,False,11.15203339999971,10.811468600000808,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,363,2340,,2703,2337
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,513,0,4,42,2026-08-14T19:06:03.789183+00:00,ok,False,,,False,False,8.873594099999536,8.740786899999875,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,355,1852,,2207,1849
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,513,1,5,42,2026-08-14T19:06:12.664120+00:00,ok,False,,,False,False,7.584376500000872,7.420919199999844,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,361,1581,,1942,1578
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,514,0,6,42,2026-08-14T19:06:20.249657+00:00,ok,False,,,False,False,4.550539899999421,4.495380100001057,"21
",21,21,True,324,912,,1236,909
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,514,1,7,42,2026-08-14T19:06:24.800946+00:00,ok,False,,,False,False,4.791740700000446,4.7361390000005485,"95
",95,95,True,324,975,,1299,972
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,515,0,8,42,2026-08-14T19:06:29.593501+00:00,ok,False,,,False,False,19.237327200000436,18.876652099999774,"True
",True,False,False,312,4013,,4325,4010
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,515,1,9,42,2026-08-14T19:06:48.833725+00:00,ok,False,,,False,False,20.8093084000011,20.524318300000232,"False
",False,False,True,312,4317,,4629,4313
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,516,0,10,42,2026-08-14T19:07:09.646191+00:00,ok,False,,,False,False,16.94704880000063,16.6451358000013,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,338,3530,,3868,3527
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,516,1,11,42,2026-08-14T19:07:26.595763+00:00,ok,False,,,False,False,14.287180499999522,13.80643389999932,"[12, 24, 26, 29, 36]
","[12, 24, 26, 29, 36]","[12, 24, 26, 29, 36]",True,339,2988,,3327,2985
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,517,0,12,42,2026-08-14T19:07:40.885155+00:00,ok,False,,,False,False,4.7722001999991335,4.641217200000028,"6
",6,6,True,308,948,,1256,945
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,517,1,13,42,2026-08-14T19:07:45.658128+00:00,ok,False,,,False,False,6.300470700000005,6.205917799999952,"1
",1,1,True,304,963,,1267,960
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,incremental,520,0,14,42,2026-08-14T19:07:51.959380+00:00,ok,False,,,False,False,11.648292899999433,11.269340799999554,"24
",24,24,True,311,2454,,2765,2451
