Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,511,0,0,42,2026-08-16T12:13:18.144458+00:00,ok,False,,,False,False,7.906417000005604,7.9063850000093225,"15
",15,15,True,290,1705,,1995,1702
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,511,1,1,42,2026-08-16T12:13:26.052310+00:00,ok,False,,,False,False,12.625412699999288,12.625381200006814,"2
",2,2,True,288,2725,,3013,2722
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,512,0,2,42,2026-08-16T12:13:38.680256+00:00,ok,False,,,False,False,12.493877299988526,12.493820999996387,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,362,2680,,3042,2677
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,512,1,3,42,2026-08-16T12:13:51.176249+00:00,ok,False,,,False,False,8.989228100006585,8.989181400000234,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,363,1929,,2292,1926
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,513,0,4,42,2026-08-16T12:14:00.167048+00:00,ok,False,,,False,False,7.020209599999362,7.020156499987934,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,355,1496,,1851,1493
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,513,1,5,42,2026-08-16T12:14:07.188475+00:00,ok,False,,,False,False,7.892731200001435,7.892682000005152,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,361,1694,,2055,1691
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,514,0,6,42,2026-08-16T12:14:15.082620+00:00,ok,False,,,False,False,3.895906300007482,3.8958819000108633,"21
",21,21,True,324,803,,1127,800
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,514,1,7,42,2026-08-16T12:14:18.979215+00:00,ok,False,,,False,False,9.264020699993125,9.263993100001244,"95
",95,95,True,324,2005,,2329,2002
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,515,0,8,42,2026-08-16T12:14:28.244829+00:00,ok,False,,,False,False,13.478040099987993,13.478015599990613,"True
",True,False,False,312,2904,,3216,2901
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,515,1,9,42,2026-08-16T12:14:41.724748+00:00,ok,False,,,False,False,16.350451699996484,16.350422100003925,"True
",True,False,False,312,3505,,3817,3492
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,516,0,10,42,2026-08-16T12:14:58.077608+00:00,ok,False,,,False,False,14.87221889999637,14.872175600001356,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,338,3189,,3527,3186
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,516,1,11,42,2026-08-16T12:15:12.952185+00:00,ok,False,,,False,False,16.332698099999106,16.33265470000333,"[12, 24, 26, 29, 36]
","[12, 24, 26, 29, 36]","[12, 24, 26, 29, 36]",True,339,3500,,3839,3497
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,517,0,12,42,2026-08-16T12:15:29.287735+00:00,ok,False,,,False,False,4.732703100002254,4.732678100001067,"6
",6,6,True,308,988,,1296,985
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,517,1,13,42,2026-08-16T12:15:34.021290+00:00,ok,False,,,False,False,4.4916239000012865,4.491598699998576,"1
",1,1,True,304,938,,1242,935
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,520,0,14,42,2026-08-16T12:15:38.513781+00:00,ok,False,,,False,False,17.363801399988006,17.363772499986226,"24
",24,24,True,311,3697,,4008,3694
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,520,1,15,42,2026-08-16T12:15:55.880543+00:00,ok,False,,,False,False,14.305346699999063,14.305321500010905,"120
",120,120,True,315,3063,,3378,3060
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,522,0,16,42,2026-08-16T12:16:10.188189+00:00,ok,False,,,False,False,28.82956670000567,28.829536000004737,"6
",6,6,True,365,5970,,6335,5903
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,522,1,17,42,2026-08-16T12:16:39.022590+00:00,ok,False,,,False,False,36.192378399995505,36.19234939999296,"5
",5,5,True,363,7314,,7677,7262
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,524,0,18,42,2026-08-16T12:17:15.220294+00:00,ok,False,,,False,False,16.50695569999516,16.506926999994903,"22
",22,22,True,330,3500,,3830,3476
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,524,1,19,42,2026-08-16T12:17:31.729985+00:00,ok,False,,,False,False,12.87159770001017,12.871569000009913,"10
",10,10,True,330,2763,,3093,2751
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,525,0,20,42,2026-08-16T12:17:44.603773+00:00,ok,False,,,False,False,12.180112700007157,12.180076000004192,"False
",False,False,True,310,2620,,2930,2617
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,525,1,21,42,2026-08-16T12:17:56.786095+00:00,ok,False,,,False,False,8.932335399993462,8.93230789998779,"True
",True,True,True,305,1919,,2224,1916
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,526,0,22,42,2026-08-16T12:18:05.720030+00:00,ok,False,,,False,False,10.244007400004193,10.243981400009943,"'BigdatA'
",'BigdatA','BigdatA',True,297,2208,,2505,2205
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,526,1,23,42,2026-08-16T12:18:15.965956+00:00,ok,False,,,False,False,13.05784069999936,13.057815599997411,"'HadooP'
",'HadooP','HadooP',True,297,2812,,3109,2809
qwen3:30b-a3b,qwen3-30b-a3b (ollama),ollama,sequential,527,0,24,42,2026-08-16T12:18:29.025979+00:00,ok,False,,,False,False,21.26313820001087,21.26311350001197,"2
",2,2,True,326,4472,,4798,4468
