Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,511,0,0,42,2026-08-14T18:24:53.594012+00:00,ok,False,,,False,False,2.7573527000004106,1.561393300000418,"1
",1,15,False,288,134,0,422,39
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,511,1,1,42,2026-08-14T18:24:56.351474+00:00,ok,False,,,False,False,3.2920137999999497,1.4541490000001431,"3
",3,2,False,286,91,0,377,93
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,512,0,2,42,2026-08-14T18:24:59.643642+00:00,ok,False,,,False,False,2.318838700000015,1.3854037999999491,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,360,117,0,477,35
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,512,1,3,42,2026-08-14T18:25:01.962584+00:00,ok,False,,,False,False,4.514999200000602,2.017568199999914,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,361,116,0,477,118
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,513,0,4,42,2026-08-14T18:25:06.477746+00:00,ok,False,,,False,False,2.405095799999799,1.6160336000002644,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,353,56,0,409,58
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,513,1,5,42,2026-08-14T18:25:08.882966+00:00,ok,False,,,False,False,1.1237074999999095,0.767182600000524,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,359,64,0,423,21
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,514,0,6,42,2026-08-14T18:25:10.006760+00:00,ok,False,,,False,False,3.123491300000751,2.795262200000252,"21
",21,21,True,322,36,0,358,38
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,514,1,7,42,2026-08-14T18:25:13.130352+00:00,ok,False,,,False,False,1.258753400000387,1.1793132000002515,"95
",95,95,True,322,38,0,360,15
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,515,0,8,42,2026-08-14T18:25:14.389178+00:00,ok,False,,,False,False,3.2990894999993543,,,,False,False,310,187,0,497,2
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,incremental,515,1,9,42,2026-08-14T18:25:17.688338+00:00,ok,False,,,False,False,4.420377299999927,1.499789999999848,"True
",True,False,False,310,147,0,457,149
