Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,511,0,0,42,2026-08-14T18:25:22.110366+00:00,ok,False,,,False,False,4.134451900000386,4.134426700000404,"1
",1,15,False,288,136,0,424,138
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,511,1,1,42,2026-08-14T18:25:26.244993+00:00,ok,False,,,False,False,5.013382300000558,5.013357200000428,"3
",3,2,False,286,91,0,377,93
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,512,0,2,42,2026-08-14T18:25:31.258516+00:00,ok,False,,,False,False,1.9259793999999602,1.925930100000187,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,360,117,0,477,35
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,512,1,3,42,2026-08-14T18:25:33.184588+00:00,ok,False,,,False,False,1.6508699000005436,1.6508232000005592,"{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}
","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",True,361,118,0,479,35
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,513,0,4,42,2026-08-14T18:25:34.835549+00:00,error,True,ValueError,no ```python code block found in response,False,False,2.0359211000004507,,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,353,59,0,412,2
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,513,1,5,42,2026-08-14T18:25:36.871547+00:00,ok,False,,,False,False,1.181658399999833,1.1816086999997424,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,359,64,0,423,21
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,514,0,6,42,2026-08-14T18:25:38.053285+00:00,ok,False,,,False,False,2.145133099999839,2.1451086999995823,"21
",21,21,True,322,36,0,358,38
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,514,1,7,42,2026-08-14T18:25:40.198513+00:00,ok,False,,,False,False,1.8027412999999797,1.8027177000003576,"95
",95,95,True,322,38,0,360,40
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,515,0,8,42,2026-08-14T18:25:42.001350+00:00,ok,False,,,False,False,4.212779299999966,4.2127558000001954,"True
",True,False,False,310,159,0,469,161
qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct (openrouter),openrouter,sequential,515,1,9,42,2026-08-14T18:25:46.214324+00:00,error,True,ValueError,no ```python code block found in response,False,False,2.478129899999658,,,,False,False,310,153,0,463,2
