Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,511,0,0,42,2026-08-15T15:32:06.448231+00:00,ok,False,,,False,False,0.5351692000003823,0.5333579000016471,"192
",192,15,False,316,75,,391,74
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,511,1,1,42,2026-08-15T15:32:06.983529+00:00,ok,False,,,False,False,0.5909434000004694,0.329913999999917,"3
",3,2,False,314,85,,399,84
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,512,0,2,42,2026-08-15T15:32:07.574762+00:00,error,True,AttributeError,AttributeError: 'tuple' object has no attribute 'pop',False,False,0.6150184999987687,0.5041413999988436,,,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",False,,,,,90
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,512,1,3,42,2026-08-15T15:32:08.189874+00:00,ok,False,,,False,False,0.7213807999996789,0.6199304000001575,"{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}
","{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,390,129,,519,128
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,513,0,4,42,2026-08-15T15:32:08.911404+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.4970447999985481,0.4200517999997828,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,,,,,55
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,513,1,5,42,2026-08-15T15:32:09.410062+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.48753670000041893,0.40686920000007376,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,,,,,61
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,514,0,6,42,2026-08-15T15:32:09.897673+00:00,ok,False,,,False,False,0.5068860000010318,0.4125789000008808,"42
",42,21,False,350,57,,407,55
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,514,1,7,42,2026-08-15T15:32:10.404683+00:00,ok,False,,,False,False,0.46797890000016196,0.4038701999998011,"42
",42,95,False,350,55,,405,53
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,515,0,8,42,2026-08-15T15:32:10.872785+00:00,ok,False,,,False,False,0.9795955999998114,0.8477788000000146,"False
",False,False,True,338,204,,542,202
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,515,1,9,42,2026-08-15T15:32:11.852593+00:00,ok,False,,,False,False,0.9988909000003332,0.8650352000004204,"False
",False,False,True,338,204,,542,202
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,516,0,10,42,2026-08-15T15:32:12.851697+00:00,ok,False,,,False,False,0.8581912999998167,0.7655269999995653,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,366,161,,527,159
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,516,1,11,42,2026-08-15T15:32:13.710073+00:00,ok,False,,,False,False,0.8556518000004871,0.7575966000003973,"[12, 24, 26, 29, 36]
","[12, 24, 26, 29, 36]","[12, 24, 26, 29, 36]",True,367,162,,529,160
smollm2:1.7b,smollm2-1.7b (ollama),ollama,incremental,517,0,12,42,2026-08-15T15:32:14.566003+00:00,ok,False,,,False,False,0.5219212000010884,0.37618060000022524,"4
6
",6,6,True,334,71,,405,69
