Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,511,0,0,42,2026-08-15T15:34:14.385792+00:00,ok,False,,,False,False,0.30992150000020047,0.30989649999901303,"192
",192,15,False,316,75,,391,74
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,511,1,1,42,2026-08-15T15:34:14.695828+00:00,ok,False,,,False,False,0.6139755999993213,0.6139499999990221,"3
",3,2,False,314,85,,399,84
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,512,0,2,42,2026-08-15T15:34:15.309927+00:00,error,True,AttributeError,AttributeError: 'tuple' object has no attribute 'pop',False,False,0.6121062000001984,0.6120890000001964,,,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",False,389,91,,480,90
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,512,1,3,42,2026-08-15T15:34:15.922109+00:00,ok,False,,,False,False,0.726180600000589,0.7261199000004126,"{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}
","{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,390,129,,519,128
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,513,0,4,42,2026-08-15T15:34:16.648444+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.5161872000007861,0.5161709000003611,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,382,63,,445,61
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,513,1,5,42,2026-08-15T15:34:17.164700+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,0.5221811999999773,0.522165499998664,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,388,69,,457,67
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,514,0,6,42,2026-08-15T15:34:17.686960+00:00,ok,False,,,False,False,0.49870990000090387,0.4986858000011125,"42
",42,21,False,350,57,,407,55
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,514,1,7,42,2026-08-15T15:34:18.185784+00:00,ok,False,,,False,False,0.4725426000004518,0.47251539999888337,"42
",42,95,False,350,55,,405,53
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,515,0,8,42,2026-08-15T15:34:18.658458+00:00,ok,False,,,False,False,0.9696476999997685,0.969623999999385,"False
",False,False,True,338,204,,542,202
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,515,1,9,42,2026-08-15T15:34:19.628333+00:00,ok,False,,,False,False,0.9822019000002911,0.982176100000288,"False
",False,False,True,338,204,,542,202
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,516,0,10,42,2026-08-15T15:34:20.610778+00:00,ok,False,,,False,False,0.8487664000003861,0.8487279999990278,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,366,161,,527,159
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,516,1,11,42,2026-08-15T15:34:21.459757+00:00,ok,False,,,False,False,0.8550016999997752,0.8549628000000666,"[12, 24, 26, 29, 36]
","[12, 24, 26, 29, 36]","[12, 24, 26, 29, 36]",True,367,162,,529,160
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,517,0,12,42,2026-08-15T15:34:22.314955+00:00,ok,False,,,False,False,0.5367113000011159,0.5366841000013665,"4
6
",6,6,True,334,71,,405,69
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,517,1,13,42,2026-08-15T15:34:22.851795+00:00,ok,False,,,False,False,0.45535089999975753,0.4553218000000925,"1
",1,1,True,330,41,,371,40
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,520,0,14,42,2026-08-15T15:34:23.307256+00:00,ok,False,,,False,False,0.6860044000004564,0.685976099999607,"24
",24,24,True,338,112,,450,111
smollm2:1.7b,smollm2-1.7b (ollama),ollama,sequential,520,1,15,42,2026-08-15T15:34:23.993413+00:00,ok,False,,,False,False,0.6702041999997164,0.6701797000005172,"120
",120,120,True,342,116,,458,115
