Model,Strategy,Timeout,Generation Error,SyntaxError,RuntimeError
gemma-3-4b (lmstudio),Incremental,0,0,0,7
gemma-3-4b (lmstudio),Sequential,0,0,0,7
gemma-4-e4b (lmstudio),Incremental,1,0,0,0
gemma-4-e4b (lmstudio),Sequential,1,0,0,0
llama3.2-latest (ollama),Incremental,0,0,0,8
llama3.2-latest (ollama),Sequential,0,0,0,8
mistral-nemo-12b (ollama),Incremental,0,0,2,7
mistral-nemo-12b (ollama),Sequential,0,0,2,7
gpt-oss-20b (lmstudio),Incremental,0,1,0,0
gpt-oss-20b (lmstudio),Sequential,0,1,0,0
phi4-latest (ollama),Incremental,0,0,0,1
phi4-latest (ollama),Sequential,0,0,0,1
qwen3-30b-a3b (ollama),Incremental,0,0,0,0
qwen3-30b-a3b (ollama),Sequential,0,0,0,0
smollm2-1.7b (ollama),Incremental,2,0,0,14
smollm2-1.7b (ollama),Sequential,2,0,0,14
codeact-agent-mistral-latest (ollama),Incremental,0,0,1,13
codeact-agent-mistral-latest (ollama),Sequential,0,0,2,12
zephyr-7b (ollama),Incremental,2,2,5,50
zephyr-7b (ollama),Sequential,3,2,4,48
