Model,Strategy,Execution Time N,Execution Time Mean (s),Execution Time Median (s),Execution Time Std (s),First Statement N,First Statement Mean (s),First Statement Median (s),First Statement Std (s)
gemma-3-4b (lmstudio),Incremental,113,0.86,0.81,0.27,113,0.47,0.43,0.14
gemma-3-4b (lmstudio),Sequential,113,0.94,0.82,0.28,113,0.94,0.82,0.28
gemma-4-e4b (lmstudio),Incremental,113,9.25,6.84,7.99,113,7.97,6.1,5.93
gemma-4-e4b (lmstudio),Sequential,113,9.29,6.77,8.07,112,8.83,6.74,6.5
llama3.2 (ollama),Incremental,113,0.62,0.58,0.13,113,0.45,0.44,0.03
llama3.2 (ollama),Sequential,113,0.62,0.59,0.14,113,0.62,0.59,0.14
mistral-nemo-12b (ollama),Incremental,113,0.97,0.89,0.27,113,0.58,0.55,0.1
mistral-nemo-12b (ollama),Sequential,113,0.98,0.9,0.28,113,0.98,0.9,0.28
gpt-oss-20b (lmstudio),Incremental,113,1.52,1.29,0.9,112,1.25,0.98,0.86
gpt-oss-20b (lmstudio),Sequential,113,1.52,1.29,0.91,112,1.52,1.29,0.91
Phi-4 (ollama),Incremental,113,1.2,1.07,0.47,113,0.52,0.52,0.1
Phi-4 (ollama),Sequential,113,1.21,1.09,0.47,113,1.21,1.09,0.47
qwen3-30b-a3b (ollama),Incremental,113,12.8,10.02,8.86,112,12.14,9.77,7.58
qwen3-30b-a3b (ollama),Sequential,113,12.63,9.86,8.9,112,12.21,9.82,7.71
smollm2-1.7b (ollama),Incremental,113,1.11,0.56,5.59,113,0.47,0.44,0.13
smollm2-1.7b (ollama),Sequential,113,1.12,0.56,5.59,112,0.59,0.56,0.16
codeact-mistral (ollama),Incremental,113,1.07,0.99,0.36,113,0.47,0.46,0.09
codeact-mistral (ollama),Sequential,113,1.09,1.0,0.37,113,1.09,1.0,0.37
zephyr-7b (ollama),Incremental,113,1.36,1.15,1.27,111,0.49,0.43,0.21
zephyr-7b (ollama),Sequential,113,2.41,1.83,5.62,110,1.8,1.83,0.75
