Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,511,0,0,42,2026-08-16T10:29:28.557676+00:00,ok,False,,,False,False,1.1196152999909827,0.4112452999979723,"192
",192,15,False,333,75,,408,74
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,511,1,1,42,2026-08-16T10:29:29.677393+00:00,ok,False,,,False,False,1.0446730999974534,0.40166959998896345,"3
",3,2,False,331,69,,400,68
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,512,0,2,42,2026-08-16T10:29:30.722156+00:00,ok,False,,,False,False,1.6469649999926332,0.6948469999915687,"{6: 1, 7: 1, (6, 7): 1, 8: 1, (9, 10): 1, 10: 1}
","{6: 1, 7: 1, (6, 7): 1, 8: 1, (9, 10): 1, 10: 1}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",False,406,126,,532,125
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,512,1,3,42,2026-08-16T10:29:32.369274+00:00,ok,False,,,False,False,1.601143799998681,0.6411716000002343,"{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}
","{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,407,127,,534,126
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,513,0,4,42,2026-08-16T10:29:33.970534+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.9634596999967471,0.5309974999981932,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,,,,,65
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,513,1,5,42,2026-08-16T10:29:34.934081+00:00,ok,False,,,False,False,1.1317198999895481,0.5836016999965068,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,405,80,,485,79
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,514,0,6,42,2026-08-16T10:29:36.065910+00:00,ok,False,,,False,False,0.8803846999944653,0.5764749999943888,"21
",21,21,True,368,57,,425,56
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,514,1,7,42,2026-08-16T10:29:36.946398+00:00,ok,False,,,False,False,0.8809622000117088,0.5979051000031177,"95
",95,95,True,368,57,,425,56
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,515,0,8,42,2026-08-16T10:29:37.827453+00:00,ok,False,,,False,False,1.2808413000020664,0.44446400000015274,"True
True
False
",False,False,True,356,94,,450,93
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,515,1,9,42,2026-08-16T10:29:39.108387+00:00,ok,False,,,False,False,1.3302801000099862,0.44271640000806656,"True
True
",True,False,False,356,98,,454,97
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,516,0,10,42,2026-08-16T10:29:40.438915+00:00,ok,False,,,False,False,1.7589806000032695,0.5711676000064472,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,383,140,,523,139
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,516,1,11,42,2026-08-16T10:29:42.197908+00:00,ok,False,,,False,False,2.3923756000003777,0.607630300000892,"[36, 12, 24, 26, 29]
","[36, 12, 24, 26, 29]","[12, 24, 26, 29, 36]",False,384,197,,581,196
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,517,0,12,42,2026-08-16T10:29:44.590420+00:00,ok,False,,,False,False,0.7967166000016732,0.5490833000076236,"6
",6,6,True,351,49,,400,48
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,517,1,13,42,2026-08-16T10:29:45.387246+00:00,ok,False,,,False,False,0.7180440000083763,0.4911997000017436,"1
",1,1,True,347,43,,390,42
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,520,0,14,42,2026-08-16T10:29:46.105393+00:00,error,True,NameError,NameError: name 'math' is not defined,False,True,0.9793981999973767,0.502275799997733,,,24,False,,,,,66
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,520,1,15,42,2026-08-16T10:29:47.084858+00:00,error,True,NameError,NameError: name 'math' is not defined,False,True,1.022441399996751,0.543630200001644,,,120,False,,,,,70
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,522,0,16,42,2026-08-16T10:29:48.107393+00:00,ok,False,,,False,False,2.8262225999933435,0.6494203999900492,"4
",4,6,False,408,238,,646,236
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,522,1,17,42,2026-08-16T10:29:50.933760+00:00,ok,False,,,False,False,3.0065156999917235,0.63755119999405,"1
",1,5,False,406,252,,658,250
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,524,0,18,42,2026-08-16T10:29:53.940439+00:00,ok,False,,,False,False,1.4262980000057723,0.528626900006202,"22
",22,22,True,373,106,,479,104
xingyaow/codeact-agent-mistral:latest,codeact-agent-mistral-latest (ollama),ollama,incremental,524,1,19,42,2026-08-16T10:29:55.366860+00:00,ok,False,,,False,False,1.9295516999991378,0.5071950999990804,"10
",10,10,True,373,157,,530,156
