Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,511,0,0,42,2026-08-14T16:59:56.776918+00:00,ok,False,,,False,False,0.7179249999999229,0.7179000999999516,"192
",192,15,False,333,71,,404,70
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,511,1,1,42,2026-08-14T16:59:57.494951+00:00,ok,False,,,False,False,0.972607399999788,0.9725826999999754,"3
",3,2,False,331,73,,404,72
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,512,0,2,42,2026-08-14T16:59:58.467665+00:00,ok,False,,,False,False,1.5412054000000808,1.541148000000021,"{6: 1, 7: 1, (6, 7): 1, 8: 1, (9, 10): 1, 10: 1}
","{6: 1, 7: 1, (6, 7): 1, 8: 1, (9, 10): 1, 10: 1}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",False,406,133,,539,132
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,512,1,3,42,2026-08-14T17:00:00.009049+00:00,ok,False,,,False,False,1.551798299999973,1.5517413999998553,"{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}
","{7: 1, 8: 1, (7, 8): 1, 9: 1, (10, 11): 1, 11: 1}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,407,134,,541,133
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,513,0,4,42,2026-08-14T17:00:01.560996+00:00,ok,False,,,False,False,0.9881387000000359,0.9880935000001045,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,399,75,,474,74
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,513,1,5,42,2026-08-14T17:00:02.549253+00:00,ok,False,,,False,False,1.0487706999999773,1.048721999999998,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,405,81,,486,80
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,514,0,6,42,2026-08-14T17:00:03.598138+00:00,ok,False,,,False,False,0.8215236000000914,0.8214986000000408,"21
",21,21,True,368,57,,425,56
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,514,1,7,42,2026-08-14T17:00:04.419763+00:00,ok,False,,,False,False,0.9250165999999354,0.9249884000000748,"95
",95,95,True,368,68,,436,67
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,515,0,8,42,2026-08-14T17:00:05.344900+00:00,ok,False,,,False,False,1.5397461000000021,1.5397210999999515,"True
",True,False,False,356,134,,490,133
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,515,1,9,42,2026-08-14T17:00:06.884792+00:00,ok,False,,,False,False,1.5557439000001523,1.5557203000000754,"True
",True,False,False,356,136,,492,135
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,516,0,10,42,2026-08-14T17:00:08.440684+00:00,ok,False,,,False,False,1.4794420999999147,1.4794044999998732,"[2, 3, 7, 8, 9, 11]
","[2, 3, 7, 8, 9, 11]","[2, 3, 7, 8, 9, 11]",True,383,126,,509,125
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,516,1,11,42,2026-08-14T17:00:09.920273+00:00,ok,False,,,False,False,1.4704738000000361,1.4704369000000952,"[12, 24, 26, 29, 36]
","[12, 24, 26, 29, 36]","[12, 24, 26, 29, 36]",True,384,127,,511,126
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,517,0,12,42,2026-08-14T17:00:11.390855+00:00,ok,False,,,False,False,0.7920473000001493,0.7920235000001412,"6
",6,6,True,351,53,,404,52
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,517,1,13,42,2026-08-14T17:00:12.183002+00:00,ok,False,,,False,False,0.6978464999999687,0.697817299999997,"1
",1,1,True,347,43,,390,42
xingyaow/codeact-agent-mistral:latest,codeact-mistral (ollama),ollama,sequential,520,0,14,42,2026-08-14T17:00:12.880958+00:00,ok,False,,,False,False,1.0464019999999437,1.0463780999998562,"24
",24,24,True,355,80,,435,79
