Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
zephyr:7b,zephyr-7b (ollama),ollama,incremental,511,0,0,42,2026-08-15T15:57:33.488914+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,0.5255584000005911,0.5168503999993845,,,15,False,,,,,71
zephyr:7b,zephyr-7b (ollama),ollama,incremental,511,1,1,42,2026-08-15T15:57:34.014601+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,0.7149485999998433,0.41574669999863545,,,2,False,,,,,69
zephyr:7b,zephyr-7b (ollama),ollama,incremental,512,0,2,42,2026-08-15T15:57:34.729663+00:00,ok,False,,,False,False,1.783920500000022,0.5299242000000959,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,420,232,,652,231
zephyr:7b,zephyr-7b (ollama),ollama,incremental,512,1,3,42,2026-08-15T15:57:36.513849+00:00,ok,False,,,False,False,1.5541254999989178,0.5294508999995742,"{7: 2, 8: 2, (7, 8): 1, 9: 1, (10, 11): 1, 10: 1, 11: 2}
","{7: 2, 8: 2, (7, 8): 1, 9: 1, (10, 11): 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,421,196,,617,195
zephyr:7b,zephyr-7b (ollama),ollama,incremental,513,0,4,42,2026-08-15T15:57:38.068226+00:00,ok,False,,,False,False,0.8170573000006698,0.46293340000011085,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']
","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']","[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",True,413,80,,493,79
zephyr:7b,zephyr-7b (ollama),ollama,incremental,513,1,5,42,2026-08-15T15:57:38.885434+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,True,0.8186506999991252,0.48331189999953494,,,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",False,,,,,84
zephyr:7b,zephyr-7b (ollama),ollama,incremental,514,0,6,42,2026-08-15T15:57:39.704187+00:00,ok,False,,,False,False,1.4507699000005232,0.4937091000010696,"21
21
",21,21,True,382,179,,561,178
zephyr:7b,zephyr-7b (ollama),ollama,incremental,514,1,7,42,2026-08-15T15:57:41.155199+00:00,ok,False,,,False,False,1.5717626000005112,0.47657080000135466,"95
95
",95,95,True,382,204,,586,203
zephyr:7b,zephyr-7b (ollama),ollama,incremental,515,0,8,42,2026-08-15T15:57:42.727177+00:00,error,True,SyntaxError,"SyntaxError: 'return' outside function (<string>, line 1)",False,True,1.6511940000000322,0.3994423000003735,,,False,False,,,,,212
zephyr:7b,zephyr-7b (ollama),ollama,incremental,515,1,9,42,2026-08-15T15:57:44.378448+00:00,ok,False,,,False,False,1.4891478999998071,0.3878621000003477,"False
",False,False,True,370,191,,561,190
zephyr:7b,zephyr-7b (ollama),ollama,incremental,516,0,10,42,2026-08-15T15:57:45.867801+00:00,error,True,IndexError,IndexError: list index out of range,False,True,1.6640909999987343,1.4590130999986286,,,"[2, 3, 7, 8, 9, 11]",False,,,,,211
zephyr:7b,zephyr-7b (ollama),ollama,incremental,516,1,11,42,2026-08-15T15:57:47.531990+00:00,error,True,IndexError,IndexError: list index out of range,False,True,1.5585277999998652,1.3455820999988646,,,"[12, 24, 26, 29, 36]",False,,,,,199
zephyr:7b,zephyr-7b (ollama),ollama,incremental,517,0,12,42,2026-08-15T15:57:49.090622+00:00,ok,False,,,False,False,1.2601159999994707,0.47921970000061265,"6
6
",6,6,True,365,150,,515,149
zephyr:7b,zephyr-7b (ollama),ollama,incremental,517,1,13,42,2026-08-15T15:57:50.350903+00:00,ok,False,,,False,False,0.7315774999988207,0.4184695999992982,"1
",1,1,True,361,71,,432,70
zephyr:7b,zephyr-7b (ollama),ollama,incremental,520,0,14,42,2026-08-15T15:57:51.082613+00:00,error,True,ZeroDivisionError,ZeroDivisionError: integer modulo by zero,False,True,0.8741167999996833,0.43518519999997807,,,24,False,,,,,92
zephyr:7b,zephyr-7b (ollama),ollama,incremental,520,1,15,42,2026-08-15T15:57:51.956817+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,1.1287228999990475,0.46415849999903,,,120,False,,,,,131
zephyr:7b,zephyr-7b (ollama),ollama,incremental,522,0,16,42,2026-08-15T15:57:53.085644+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,2.3013082000015856,0.5777703000003385,,,6,False,,,,,318
zephyr:7b,zephyr-7b (ollama),ollama,incremental,522,1,17,42,2026-08-15T15:57:55.387055+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,3.6602644000013242,0.46020560000033583,,,5,False,,,,,526
zephyr:7b,zephyr-7b (ollama),ollama,incremental,524,0,18,42,2026-08-15T15:57:59.047432+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,1.1990483999998105,0.39793960000133666,,,22,False,,,,,137
zephyr:7b,zephyr-7b (ollama),ollama,incremental,524,1,19,42,2026-08-15T15:58:00.246582+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,1.422045999999682,0.4291317000006529,,,10,False,,,,,179
zephyr:7b,zephyr-7b (ollama),ollama,incremental,525,0,20,42,2026-08-15T15:58:01.668724+00:00,ok,False,,,False,False,3.028612999998586,1.9002120999994077,"Not Parallel
",Not Parallel,False,False,367,424,,791,423
zephyr:7b,zephyr-7b (ollama),ollama,incremental,525,1,21,42,2026-08-15T15:58:04.697674+00:00,error,True,ZeroDivisionError,ZeroDivisionError: division by zero,False,True,1.3899265000000014,1.1277465000002849,,,True,False,,,,,173
zephyr:7b,zephyr-7b (ollama),ollama,incremental,526,0,22,42,2026-08-15T15:58:06.087704+00:00,error,True,TypeError,"TypeError: replace() argument 2 must be str, not function",False,True,0.7947149999999965,0.37708679999923334,,,'BigdatA',False,,,,,77
zephyr:7b,zephyr-7b (ollama),ollama,incremental,526,1,23,42,2026-08-15T15:58:06.882542+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,1.2141006999991077,0.3934116999989783,,,'HadooP',False,,,,,148
zephyr:7b,zephyr-7b (ollama),ollama,incremental,527,0,24,42,2026-08-15T15:58:08.096732+00:00,error,True,NameError,NameError: name 'I' is not defined,False,False,1.5546426000000793,0.430877300001157,,,2,False,,,,,195
zephyr:7b,zephyr-7b (ollama),ollama,incremental,527,1,25,42,2026-08-15T15:58:09.651467+00:00,error,True,NameError,NameError: name 'i' is not defined,False,True,0.7943128000006254,0.40678440000010596,,,6,False,,,,,79
