Model,ModelLabel,Provider,Strategy,TaskId,CaseIndex,DatasetRow,Seed,StartedAt,Outcome,ErrorOccurred,ErrorType,ExecutionError,HasTimedOut,EarlyExit,ExecutionTime,FirstExecutedStatement,ExecutionOutput,ActualOutput,ExpectedOutput,CorrectOutput,InputTokens,OutputTokens,ReasoningTokens,TotalTokens,ClientCompletionChunks
zephyr:7b,zephyr-7b (ollama),ollama,sequential,511,0,0,42,2026-08-16T12:52:12.295259+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,1.7673107000009622,1.7672964999946998,,,15,False,347,263,,610,262
zephyr:7b,zephyr-7b (ollama),ollama,sequential,511,1,1,42,2026-08-16T12:52:14.062636+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,2.0798799999902258,2.0798646999901393,,,2,False,345,319,,664,318
zephyr:7b,zephyr-7b (ollama),ollama,sequential,512,0,2,42,2026-08-16T12:52:16.142584+00:00,ok,False,,,False,False,1.61271940000006,1.61266009999963,"{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}
","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}","{6: 2, 7: 2, 8: 1, 9: 1, 10: 2}",True,420,232,,652,231
zephyr:7b,zephyr-7b (ollama),ollama,sequential,512,1,3,42,2026-08-16T12:52:17.755561+00:00,ok,False,,,False,False,1.5581822999956785,1.5581185999908485,"{7: 2, 8: 2, (7, 8): 1, 9: 1, (10, 11): 1, 10: 1, 11: 2}
","{7: 2, 8: 2, (7, 8): 1, 9: 1, (10, 11): 1, 10: 1, 11: 2}","{7: 2, 8: 2, 9: 1, 10: 1, 11: 2}",False,421,226,,647,225
zephyr:7b,zephyr-7b (ollama),ollama,sequential,513,0,4,42,2026-08-16T12:52:19.314037+00:00,error,True,TypeError,TypeError: unsupported operand type(s) for +: 'int' and 'str',False,False,1.4647950999933528,1.464781300004688,,,"[7, 'PF', 8, 'PF', 9, 'PF', 10, 'PF']",False,413,206,,619,205
zephyr:7b,zephyr-7b (ollama),ollama,sequential,513,1,5,42,2026-08-16T12:52:20.778912+00:00,ok,False,,,False,False,0.7711141999898246,0.7710654999973485,"[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']
","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']","[11, 'JH', 14, 'JH', 12, 'JH', 1, 'JH', 4, 'JH']",True,419,84,,503,83
zephyr:7b,zephyr-7b (ollama),ollama,sequential,514,0,6,42,2026-08-16T12:52:21.550142+00:00,ok,False,,,False,False,1.4152417000004789,1.4152173000038601,"21
21
",21,21,True,382,199,,581,198
zephyr:7b,zephyr-7b (ollama),ollama,sequential,514,1,7,42,2026-08-16T12:52:22.965603+00:00,ok,False,,,False,False,0.7225484999944456,0.722521699994104,"95
",95,95,True,382,74,,456,73
zephyr:7b,zephyr-7b (ollama),ollama,sequential,515,0,8,42,2026-08-16T12:52:23.688278+00:00,error,True,SyntaxError,"SyntaxError: 'return' outside function (<string>, line 21)",False,False,2.9045831999974325,2.9045624999998836,,,False,False,370,465,,835,464
zephyr:7b,zephyr-7b (ollama),ollama,sequential,515,1,9,42,2026-08-16T12:52:26.593428+00:00,ok,False,,,False,False,1.8774139000015566,1.8773896000056993,"False
",False,False,True,370,280,,650,279
zephyr:7b,zephyr-7b (ollama),ollama,sequential,516,0,10,42,2026-08-16T12:52:28.471099+00:00,ok,False,,,False,False,2.3717219999962253,2.3716749000013806,"[9, 8, 7, 3, 2, 11]
","[9, 8, 7, 3, 2, 11]","[2, 3, 7, 8, 9, 11]",False,397,368,,765,367
zephyr:7b,zephyr-7b (ollama),ollama,sequential,516,1,11,42,2026-08-16T12:52:30.843190+00:00,stalled,False,TimeoutError,case exceeded 60.0s,True,False,60.03058580000652,,,,"[12, 24, 26, 29, 36]",False,398,459,,857,458
zephyr:7b,zephyr-7b (ollama),ollama,sequential,517,0,12,42,2026-08-16T12:53:30.874159+00:00,ok,False,,,False,False,1.4450311999971746,1.4450073999905726,"6
6
",6,6,True,365,150,,515,149
zephyr:7b,zephyr-7b (ollama),ollama,sequential,517,1,13,42,2026-08-16T12:53:32.319340+00:00,ok,False,,,False,False,0.6686958000063896,0.6686725000035949,"1
",1,1,True,361,67,,428,66
zephyr:7b,zephyr-7b (ollama),ollama,sequential,520,0,14,42,2026-08-16T12:53:32.988144+00:00,error,True,ZeroDivisionError,ZeroDivisionError: integer modulo by zero,False,False,2.0728562000003876,2.072840000008,,,24,False,369,319,,688,318
zephyr:7b,zephyr-7b (ollama),ollama,sequential,520,1,15,42,2026-08-16T12:53:35.061087+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,2.163481800002046,2.1634679999988293,,,120,False,373,335,,708,334
zephyr:7b,zephyr-7b (ollama),ollama,sequential,522,0,16,42,2026-08-16T12:53:37.224643+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,2.9175485000014305,2.9175313000014285,,,6,False,422,465,,887,464
zephyr:7b,zephyr-7b (ollama),ollama,sequential,522,1,17,42,2026-08-16T12:53:40.142273+00:00,error,True,UnboundLocalError,UnboundLocalError: cannot access local variable 'i' where it is not associated with a value,False,False,2.8098153000028105,2.80980040000577,,,5,False,420,446,,866,444
zephyr:7b,zephyr-7b (ollama),ollama,sequential,524,0,18,42,2026-08-16T12:53:42.952147+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,2.961157399986405,2.961141599997063,,,22,False,387,472,,859,471
zephyr:7b,zephyr-7b (ollama),ollama,sequential,524,1,19,42,2026-08-16T12:53:45.913382+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,2.636186000003363,2.6361716000101296,,,10,False,387,416,,803,415
zephyr:7b,zephyr-7b (ollama),ollama,sequential,525,0,20,42,2026-08-16T12:53:48.549645+00:00,ok,False,,,False,False,1.607107999996515,1.6070831999968505,"False
",False,False,True,367,230,,597,229
zephyr:7b,zephyr-7b (ollama),ollama,sequential,525,1,21,42,2026-08-16T12:53:50.156993+00:00,ok,False,,,False,False,2.7483882999949856,2.7483597999962512,"True
",True,True,True,363,439,,802,438
zephyr:7b,zephyr-7b (ollama),ollama,sequential,526,0,22,42,2026-08-16T12:53:52.905797+00:00,ok,False,,,False,False,1.2063200999982655,1.2062850000074832,"BigdatA
Bigdata
",Bigdata,'BigdatA',False,355,160,,515,159
zephyr:7b,zephyr-7b (ollama),ollama,sequential,526,1,23,42,2026-08-16T12:53:54.112298+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,1.9399932000087574,1.9399774000048637,,,'HadooP',False,356,293,,649,292
zephyr:7b,zephyr-7b (ollama),ollama,sequential,527,0,24,42,2026-08-16T12:53:56.052373+00:00,error,True,NameError,NameError: name 'I' is not defined,False,False,1.7821027000027243,1.782086999999592,,,2,False,383,262,,645,260
zephyr:7b,zephyr-7b (ollama),ollama,sequential,527,1,25,42,2026-08-16T12:53:57.834552+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,1.6258304999937536,1.6258150999929057,,,6,False,383,237,,620,236
zephyr:7b,zephyr-7b (ollama),ollama,sequential,529,0,26,42,2026-08-16T12:53:59.460441+00:00,ok,False,,,False,False,1.7417084999906365,1.741680399994948,"1
",1,5,False,350,255,,605,254
zephyr:7b,zephyr-7b (ollama),ollama,sequential,529,1,27,42,2026-08-16T12:54:01.202399+00:00,ok,False,,,False,False,5.49335110001266,5.49332590000995,"13
",13,17,False,350,927,,1277,926
zephyr:7b,zephyr-7b (ollama),ollama,sequential,532,0,28,42,2026-08-16T12:54:06.696572+00:00,ok,False,,,False,False,1.8442733000119915,1.8442455000040354,"False
False
",False,False,True,358,271,,629,270
zephyr:7b,zephyr-7b (ollama),ollama,sequential,532,1,29,42,2026-08-16T12:54:08.541130+00:00,ok,False,,,False,False,1.8384468000003835,1.8384227000060491,"True
True
",True,True,True,361,276,,637,275
zephyr:7b,zephyr-7b (ollama),ollama,sequential,533,0,30,42,2026-08-16T12:54:10.379844+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,1.5117014999996172,1.5116853999934392,,,"[7, 8, 9]",False,381,214,,595,213
zephyr:7b,zephyr-7b (ollama),ollama,sequential,533,1,31,42,2026-08-16T12:54:11.891626+00:00,error,True,SyntaxError,"SyntaxError: closing parenthesis ')' does not match opening parenthesis '[' (<string>, line 4)",False,False,1.5835841000080109,1.583566700006486,,,"[7, 2]",False,385,230,,615,229
zephyr:7b,zephyr-7b (ollama),ollama,sequential,537,0,32,42,2026-08-16T12:54:13.475455+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,2.5161339000042062,2.5161183000018355,,,'None',False,352,394,,746,393
zephyr:7b,zephyr-7b (ollama),ollama,sequential,537,1,33,42,2026-08-16T12:54:15.991676+00:00,error,True,NameError,NameError: name 'i' is not defined,False,False,1.7584370999975363,1.7584236999973655,,,'ca',False,355,258,,613,257
zephyr:7b,zephyr-7b (ollama),ollama,sequential,538,0,34,42,2026-08-16T12:54:17.750187+00:00,ok,False,,,False,False,1.4255671999999322,1.4255294000031427,"('b',)
","('b',)","('b', 'i', 'g', 'd', 'a', 't', 'a')",False,374,200,,574,199
