ModelLabel,Algorithm,Count,PassRate,CorrectnessRate,TimeoutRate
CodeAct-Mistral,Async,113,86.73,41.59,0.0
CodeAct-Mistral,Sync,113,86.73,41.59,0.0
GPT-OSS 20B,Async,113,100.0,58.41,0.0
GPT-OSS 20B,Sync,113,100.0,58.41,0.0
Gemma 3,Async,113,98.23,54.87,0.0
Gemma 3,Sync,113,98.23,54.87,0.0
Llama 3.2,Async,113,85.84,30.97,0.0
Llama 3.2,Sync,113,86.73,30.97,0.0
Phi 4,Async,113,99.12,71.68,0.0
Phi 4,Sync,113,99.12,71.68,0.0
Qwen3-Coder 30B,Async,113,99.12,77.88,0.0
Qwen3-Coder 30B,Sync,113,99.12,77.88,0.0
